customer_id,name,email,phone,address,city,zone,plan_type,registered_date,status
CUST-00001,Jessica Smith,awhitehead@example.org,8964691571,"96931 Schroeder Corners, East Tonya, MT 32624",Mumbai,mumbai-zone-2,basic,2024-02-27,active
CUST-00002,Amanda Coleman,fowleramber@example.com,760.669.5662,"5487 Daniel Circles Apt. 003, South Lisaburgh, NH 23597",Pune,pune-zone-1,standard,2024-02-17,active
CUST-00003,Andrew Hawkins,ericmoore@example.org,330.478.2598,"574 Sanchez Valleys Suite 734, Kington, TN 78057",Delhi,delhi-zone-2,basic,2023-04-24,active
CUST-00004,Thomas Miller,vanessa03@example.com,001-915-695-0870x8381,"PSC 2046, Box 0664, APO AA 64594",Mumbai,mumbai-zone-1,basic,2021-03-23,active
CUST-00005,Julie Hanson DVM,kristinabryant@example.org,340-979-5848,"246 Sarah Throughway, West Angelamouth, DE 91021",Delhi,delhi-zone-3,basic,2023-02-23,active
CUST-00006,Susan Reynolds,robinthornton@example.net,613-549-8570,"188 Hale Flats Suite 342, South Danieltown, IN 31352",Delhi,delhi-zone-2,enterprise,2021-03-27,active
CUST-00007,Joshua Mckinney,dustin75@example.net,+1-600-751-5556x217,"350 Rice Trafficway Suite 516, Lake Michelle, KY 29068",Pune,pune-zone-2,basic,2024-04-03,active
CUST-00008,Craig Schwartz,carterrichard@example.com,+1-966-854-5869,"6490 Williams Inlet, Anneport, HI 43641",Bangalore,bangalore-zone-2,premium,2021-07-23,active
CUST-00009,Katelyn Wagner,kristinthomas@example.com,2443209007,"4627 Wells Passage, Lake Justintown, DC 88476",Bangalore,bangalore-zone-1,basic,2020-07-08,active
CUST-00010,Scott Hodge,conniemorgan@example.com,001-383-578-6093,"99021 Shaffer Brook, Port Angelaview, WY 68841",Bangalore,bangalore-zone-1,premium,2023-05-21,active
CUST-00011,Stephanie Delgado,michael86@example.org,(645)809-6821x3828,"67888 Susan Parkways Apt. 755, Colemanchester, HI 35429",Mumbai,mumbai-zone-1,enterprise,2023-01-03,active
CUST-00012,Lisa Morales,joshua33@example.com,387.890.1582x942,"Unit 5500 Box 6438, DPO AE 18470",Bangalore,bangalore-zone-2,basic,2023-02-04,active
CUST-00013,Sarah Hernandez,davidcontreras@example.com,+1-416-826-2836x7595,"433 Wagner Way Suite 828, East Tracymouth, NJ 29535",Delhi,delhi-zone-3,premium,2023-03-28,active
CUST-00014,Darren Aguilar,anthonygolden@example.com,+1-662-785-8760x9123,"70534 Chelsea Fords, Petersonport, WV 43634",Mumbai,mumbai-zone-2,basic,2023-09-16,active
CUST-00015,Derek Beard,evan80@example.org,287-896-5777x7512,"53566 Aaron Trace, Leeburgh, OH 91531",Pune,pune-zone-2,basic,2024-10-17,active
CUST-00016,Madeline Barnett,carteramanda@example.com,(589)792-8477x8238,"8169 Smith Square Apt. 343, Paynetown, AK 24767",Mumbai,mumbai-zone-2,enterprise,2021-07-23,active
CUST-00017,Alexis Ruiz,kathleenprice@example.net,297.583.4690,"USCGC Jackson, FPO AP 88764",Bangalore,bangalore-zone-1,standard,2022-01-28,active
CUST-00018,Janet Morrow,uhall@example.com,001-401-531-5082x364,"91962 Nancy Spurs Suite 256, West Joshua, FM 06908",Pune,pune-zone-2,basic,2023-06-01,active
CUST-00019,Gloria Coffey,barmstrong@example.com,(880)492-8981,"596 Daniel Corners, North Adrian, HI 44574",Delhi,delhi-zone-2,standard,2020-11-30,active
CUST-00020,Steve Butler,yolanda94@example.net,7619386135,"191 Christopher Brook Suite 733, Jonathanport, RI 50390",Pune,pune-zone-2,standard,2023-11-03,active
CUST-00021,John Perry,rmullen@example.net,001-288-253-8713x975,"7321 Shelby Pine, Dunlapmouth, AR 83271",Mumbai,mumbai-zone-1,standard,2024-08-10,active
CUST-00022,Gregory Yang,markbaxter@example.net,001-424-509-8867,"989 Randolph Plain, Jeffreybury, GA 56649",Bangalore,bangalore-zone-1,enterprise,2021-07-02,active
CUST-00023,Jennifer Hancock,bakernathan@example.com,519-902-7914,"24575 Gonzalez Fort, East Jared, MS 44908",Delhi,delhi-zone-3,premium,2021-03-11,active
CUST-00024,Robin Paul,stephanie89@example.org,354-645-3941,"16293 Annette Ramp, Hallchester, IL 93850",Bangalore,bangalore-zone-2,enterprise,2020-10-19,active
CUST-00025,Alison Thompson,jimenezmichael@example.net,265.650.1373x73306,"4396 Baker Manors, Willismouth, RI 78335",Pune,pune-zone-1,premium,2024-03-09,active
CUST-00026,Mark Cole,cherylfrederick@example.org,203.415.9488x1709,"8062 Grant Camp, Cynthiamouth, SC 42677",Delhi,delhi-zone-3,enterprise,2022-01-11,active
CUST-00027,Joseph Hahn,laurennorton@example.org,414.638.5382x7794,"104 Dawn Squares, North Kevin, NJ 84332",Mumbai,mumbai-zone-3,enterprise,2020-07-05,active
CUST-00028,Rodney Ramirez,kayla58@example.net,3822832522,"19863 Howard Park Suite 266, New Cynthia, GU 96168",Mumbai,mumbai-zone-2,standard,2023-07-09,active
CUST-00029,Angelica Kelly,alison89@example.org,001-515-279-9283,"035 Alvarado Expressway, Rebeccamouth, NM 19926",Bangalore,bangalore-zone-2,basic,2022-02-27,active
CUST-00030,Courtney Aguilar,martinezerica@example.org,001-646-557-7152x1289,"2858 Joe Meadow Suite 626, New Vincent, AK 32639",Delhi,delhi-zone-1,premium,2023-02-07,active
CUST-00031,Karen Mcclure,elijahguzman@example.org,522.337.9560x638,"PSC 1529, Box 2467, APO AE 53656",Mumbai,mumbai-zone-1,basic,2023-10-28,active
