meter_id,maintenance_date,maintenance_type,description,technician,cost_usd,status
asu-water-meter-0005,2026-01-14T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0005 in delhi-zone-1,Anna Norris,99.27,in-progress
asu-water-meter-0005,2026-03-25T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0005 in delhi-zone-1,Charles Williams,188.17,completed
asu-water-meter-0005,2026-01-20T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0005 in delhi-zone-1,Eric Buchanan,297.44,in-progress
asu-water-meter-0006,2026-02-28T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0006 in bangalore-zone-1,Juan Freeman,343.26,completed
asu-water-meter-0006,2026-02-12T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0006 in bangalore-zone-1,Lori Barnes,333.04,completed
asu-water-meter-0008,2026-01-08T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0008 in delhi-zone-2,April Hall,369.59,completed
asu-water-meter-0008,2026-03-01T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0008 in delhi-zone-2,Kristina Hayes,298.93,in-progress
asu-water-meter-0013,2026-01-13T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0013 in delhi-zone-1,Anthony Rivera,413.76,completed
asu-water-meter-0014,2026-03-13T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0014 in mumbai-zone-1,Debbie Park,445.57,completed
asu-water-meter-0016,2026-02-20T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0016 in bangalore-zone-2,Gregory Blackwell,228.04,in-progress
asu-water-meter-0017,2026-03-17T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0017 in mumbai-zone-1,Matthew Allen,74.28,completed
asu-water-meter-0017,2026-02-28T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0017 in mumbai-zone-1,Justin Fletcher,461.54,completed
asu-water-meter-0017,2026-01-09T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0017 in mumbai-zone-1,Eric Page,145.71,scheduled
asu-water-meter-0020,2026-01-14T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0020 in mumbai-zone-2,Mary Johnson,243.87,scheduled
asu-water-meter-0020,2026-03-19T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0020 in mumbai-zone-2,Daniel Brown,186.34,completed
asu-water-meter-0020,2026-04-01T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0020 in mumbai-zone-2,Steven Taylor,286.71,in-progress
